Player,Position,Appearances,Club ID,Player ID,Team Name,interceptions_per_90_overall,clearances_per_90_overall,aerial_duels_won_per_90_overall,duels_won_per_90_overall,conceded_per_90_overall,blocks_per_90_overall,clean_sheets_per_overall,pass_completion_rate_overall,pen_committed_per_90_overall,cards_per_90_overall,fouls_committed_per_90_overall,dribbled_past_per_90_overall,dispossesed_per_90_overall,goals_involved_per_90_overall,Team Possession,Composite_Score
Álex Moreno,Not Fetched,13,211,11103,Nottingham Forest,0.7142857142857143,0.3446327683615819,0.030219780219780217,0.5724331926863573,-0.5358851674641149,0.29411764705882354,0.6739130434782609,0.797211660329531,-0.0,-0.4074074074074074,-0.5254237288135594,-0.9945054945054944,-0.3630573248407643,0.28205128205128205,40,1.7832739115486924
Nélson Semedo,Not Fetched,19,223,467933,Wolverhampton Wanderers,0.22268907563025211,0.37401129943502825,0.3076923076923077,0.7482419127988749,-0.5980861244019139,0.3071895424836601,0.34782608695652173,0.8578369243768482,-0.4,-0.7222222222222222,-0.6271186440677966,-0.456043956043956,-0.3375796178343949,0.4358974358974359,47,1.499248231435043
Ian Maatsen,Not Fetched,17,158,184029,Aston Villa,0.6512605042016807,0.1751412429378531,0.28296703296703296,0.8734177215189873,-0.444976076555024,0.0,0.2608695652173913,0.9037811575834388,-0.0,-0.8333333333333333,-0.5466101694915255,-0.2857142857142857,-0.9872611464968153,0.5641025641025641,50,1.4895887369128984
Kyle Walker-Peters,Not Fetched,21,146,4600,Southampton,0.2773109243697479,0.2790960451977401,0.0824175824175824,0.5963431786216596,-0.7894736842105263,0.36601307189542487,0.21739130434782608,0.9663075623151667,-0.0,-0.44444444444444436,-0.4279661016949153,-0.3626373626373626,-0.8343949044585988,0.2564102564102564,52,1.1957479071704595
Rayan Aït Nouri,Not Fetched,22,223,159519,Wolverhampton Wanderers,0.31512605042016806,0.22033898305084745,0.1510989010989011,0.8213783403656821,-0.84688995215311,0.13071895424836602,0.19565217391304346,0.9118081960287282,-0.0,-0.537037037037037,-0.44491525423728817,-0.3296703296703296,-0.7961783439490445,0.9743589743589743,47,0.9867939394709714
Leif Davis,Not Fetched,23,220,193898,Ipswich Town,0.3235294117647059,0.2768361581920904,0.2747252747252747,0.5949367088607596,-0.6937799043062202,0.11764705882352941,0.19565217391304346,0.8569919729615546,-0.6,-0.4074074074074074,-0.3855932203389831,-0.3021978021978022,-0.2611464968152866,0.3333333333333333,40,0.8530614477615666
Milos Kerkez,Not Fetched,23,148,737736,AFC Bournemouth,0.0,0.0,0.0,0.0,-0.3397129186602871,0.0,0.5652173913043478,0.0,-0.0,-0.25925925925925924,-0.0,-0.0,-0.0,0.5897435897435898,46,0.5222340165131927
Ben Johnson,Not Fetched,14,220,120444,Ipswich Town,0.44537815126050423,0.3593220338983051,0.45329670329670324,0.7468354430379746,-0.9999999999999999,0.3856209150326797,0.15217391304347827,0.853295310519645,-0.0,-0.4074074074074074,-0.6483050847457628,-0.6483516483516483,-0.751592356687898,0.28205128205128205,40,0.15865880938715493
Dean Donny Huijsen,Not Fetched,17,148,793294,AFC Bournemouth,0.0,0.0,0.0,0.0,-0.17224880382775123,0.0,0.6086956521739131,0.0,-0.0,-0.574074074074074,-0.0,-0.0,-0.0,0.41025641025641024,46,0.13500195880058607
Jan Paul van Hecke,Not Fetched,21,209,193267,Brighton & Hove Albion,0.0,0.0,0.0,0.0,-0.2822966507177034,0.0,0.5217391304347826,0.0,-0.0,-0.37037037037037035,-0.0,-0.0,-0.0,0.1282051282051282,53,-0.13365065310145408
Radu Drăgușin,Not Fetched,16,92,632467,Tottenham Hotspur,0.0,0.0,0.0,0.0,-0.7942583732057418,0.0,0.41304347826086957,0.0,-0.0,-0.12962962962962962,-0.0,-0.0,-0.0,0.0,58,-1.0216890491490036
Joachim Andersen,Not Fetched,15,143,14505,Crystal Palace,0.0,0.0,0.0,0.0,-0.4832535885167464,0.0,0.43478260869565216,0.0,-0.0,-0.6296296296296297,-0.0,-0.0,-0.0,0.0,44,-1.3562012189014476
